36,36,6
156,36,1
300,36,7
372,36,6
516,36,1
636,36,7
36,132,4
156,132,9
228,132,1
300,132,3
372,132,3
444,132,1
516,132,9
636,132,2
36,204,5
156,204,2
228,204,5
300,204,7
372,204,6
444,204,8
516,204,4
636,204,8
228,276,6
300,276,3
372,276,3
444,276,7
156,348,9
228,348,2
444,348,4
516,348,9
228,420,4
444,420,2
36,492,6
156,492,9
228,492,3
300,492,7
372,492,6
444,492,3
516,492,9
636,492,7
36,564,5
84,564,7
156,564,4
228,564,1
300,564,3
372,564,3
444,564,1
516,564,2
588,564,6
636,564,8
36,636,6
84,636,3
156,636,8
228,636,5
300,636,7
372,636,6
444,636,8
516,636,5
588,636,3
636,636,7
36,708,5
300,708,3
372,708,3
636,708,8
